FD,SCI,CO,PPI_SUM,BF_Ex,BF_Ag,BF_Co,BF_Em,BF_Op,Gender_male,MonthsInJob,Age
-0.16671808,-0.098897755,0.2969785,0.2236307,-0.573031,-0.08842703,-0.14581144,0.098309964,0.13016462,-0.25545934,0.02189734,-0.8999515
0.0101097105,-0.12691048,0.22382265,0.08340632,-0.644676,-0.09932092,-0.13955852,0.023379983,0.12852019,-0.42027408,-0.21836677,0.92920536
-0.6690067,-0.058321614,-0.020545963,-0.16504042,-0.5997674,-0.10657893,-0.04324393,0.11262105,0.11413545,-0.24091391,0.26602167,0.65200436
0.037441257,-0.051264476,0.010442962,0.22368559,-0.11624609,0.057657987,-0.22807755,-0.45246768,0.08613045,-0.26294032,-0.53289235,1.0711746
-0.06960702,-0.5540412,0.02980897,0.38387856,0.6228296,-0.03242009,0.07433444,0.18829644,0.3027186,-0.22449848,-0.2256064,-0.7870662
-0.22205032,-0.21076895,0.23840845,0.38947952,0.6543932,-5.077984e-05,0.13599849,0.059394475,0.27383935,-0.30074573,-0.103909485,-1.2740035
-0.10703517,0.05865382,-0.069588445,-0.36341432,-0.5258321,-0.10865238,-0.16477421,0.09776629,-0.26963872,-0.24351591,-0.51693153,-0.8216034
-0.1322002,-0.012969742,0.22510159,0.22005007,-0.76300466,0.100741506,-0.011090204,-0.2440304,-0.1268699,-0.23506652,-0.3249691,0.66086984
0.040629603,0.0032027855,-0.000809364,0.12325027,-1.280406,-0.008069765,0.027367838,-0.35836908,0.06275096,-0.24344309,1.4706669,0.2939668
-0.5693205,-0.038077805,0.09512741,-1.8374404,-0.6208505,-0.6408346,-0.52302283,0.1439013,0.008794212,-0.24893092,0.34619895,0.53815556
-0.7768149,-0.11996995,-0.027248658,-1.5027347,0.8012596,0.009225074,-0.06851069,-0.5973514,0.11691078,-0.29909113,0.07720499,1.3446358
0.4483871,-0.104787774,0.36649427,-0.5896758,1.510053,0.08598557,0.109306864,0.27207738,-0.17069493,-0.14777523,1.7444197,0.93136007
